"i"	"protID"	"spname"	"group"	"assembly"	"symM3"	"symM2"	"symM1"	"sym0"	"sym1"	"sym2"	"sym3"	"strandM3"	"strandM2"	"strandM1"	"strand0"	"strand1"	"strand2"	"strand3"	"accM3"	"accM2"	"accM1"	"acc0"	"acc1"	"acc2"	"acc3"	"nameM3"	"nameM2"	"nameM1"	"name0"	"name1"	"name2"	"name3"	"prot_feature_tables_all_fn"
"148"	"148"	"QQS88170.1"	"Fusobacterium_canifelinum_FDAARGOS_1126"	"Fusobacteria"	"GCA_016724785.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"QQS88167.1"	"QQS88168.1"	"QQS88169.1"	"QQS88170.1"	"QQS88171.1"	"QQS88172.1"	"QQS88173.1"	"DUF116 domain-containing protein"	"tetratricopeptide repeat protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"energy transducer TonB"	"sigma-54-dependent Fis family transcriptional regulator"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"149"	"149"	"CAD73493.1"	"Rhodopirellula_baltica_SH_1"	"Planctomycetes"	"GCA_000196115.1"	""	""	""	"tolQ"	""	""	""	"+"	"-"	"-"	"+"	"+"	"+"	"-"	"CAD73490.1"	"CAD73491.1"	"CAD73492.1"	"CAD73493.1"	"CAD73494.1"	"CAD73495.1"	"CAD73496.1"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"probable tolQ protein"	"hypothetical protein-transmembrane prediction"	"hypothetical protein-transmembrane prediction"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"150"	"150"	"QDU98188.1"	"Lignipirellula_cremea_Pla85_3_4"	"Planctomycetes"	"GCA_007751035.1"	"fabG_11"	""	""	"exbB_4"	""	""	""	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"QDU98185.1"	"QDU98186.1"	"QDU98187.1"	"QDU98188.1"	"QDU98189.1"	"QDU98190.1"	"QDU98191.1"	"3-oxoacyl-[acyl-carrier-protein] reductase FabG"	"hypothetical protein"	"hypothetical protein"	"Biopolymer transport protein ExbB"	"Biopolymer transport protein ExbD/TolR"	"Biopolymer transport protein ExbD/TolR"	"Biopolymer transport protein ExbD/TolR"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"151"	"151"	"QDU25322.1"	"Anatilimnocola_aggregata_ETA_A8"	"Planctomycetes"	"GCA_007747655.1"	""	""	""	"exbB_1"	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"QDU25325.1"	"QDU25324.1"	"QDU25323.1"	"QDU25322.1"	"QDU25321.1"	"QDU25320.1"	"QDU25319.1"	"von Willebrand factor type A domain protein"	"hypothetical protein"	"hypothetical protein"	"Biopolymer transport protein ExbB"	"biopolymer transport protein ExbD"	"Biopolymer transport protein ExbD/TolR"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"152"	"152"	"ADB18835.1"	"Pirellula_staleyi_DSM_6068"	"Planctomycetes"	"GCA_000025185.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"ADB18832.1"	"ADB18833.1"	"ADB18834.1"	"ADB18835.1"	"ADB18836.1"	"ADB18837.1"	""	"von Willebrand factor type A"	"hypothetical protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"Biopolymer transport protein ExbD/TolR"	""	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"153"	"153"	"ADY58081.1"	"Rubinispaera_brasiliensis_DSM_5305"	"Planctomycetes"	"GCA_000165715.3"	""	""	""	NA	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"ADY58078.1"	"ADY58079.1"	"ADY58080.1"	"ADY58081.1"	"ADY58082.1"	"ADY58083.1"	"ADY58084.1"	"MotA/TolQ/ExbB proton channel"	"hypothetical protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"outer membrane transport energization protein ExbD"	"Biopolymer transport protein ExbD/TolR"	"anthranilate synthase, component II"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"154"	"154"	"ADV63187.1"	"Isospaera_pallida_ATCC_43644"	"Planctomycetes"	"GCA_000186345.1"	""	""	""	NA	""	""	""	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"ADV63184.1"	"ADV63185.1"	"ADV63186.1"	"ADV63187.1"	"ADV63188.1"	"ADV63189.1"	"ADV63190.1"	"transaldolase"	"glucose-6-phosphate isomerase"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"Biopolymer transport protein ExbD/TolR"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"155"	"155"	"QVL32579.1"	"Telmatocola_spagniphila_spT"	"Planctomycetes"	"GCA_018398935.1"	""	""	""	""	""	""	""	"+"	"-"	"+"	"+"	"+"	"+"	"+"	"QVL32576.1"	"QVL32577.1"	"QVL32578.1"	"QVL32579.1"	"QVL32580.1"	"QVL32581.1"	"QVL32582.1"	"hypothetical protein"	"DinB family protein"	"RDD family protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"156"	"156"	"ADV63892.1"	"Isospaera_pallida_ATCC_43644"	"Planctomycetes"	"GCA_000186345.1"	""	""	""	NA	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ADV63895.1"	"ADV63894.1"	"ADV63893.1"	"ADV63892.1"	"ADV63891.1"	"ADV63890.1"	"ADV63889.1"	"ABC transporter related protein"	"protein of unknown function DUF214"	"protein of unknown function DUF214"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"Biopolymer transport protein ExbD/TolR"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"157"	"157"	"QDU30851.1"	"Anatilimnocola_aggregata_ETA_A8"	"Planctomycetes"	"GCA_007747655.1"	"dnaG"	""	""	"exbB_3"	""	"flgL"	"flgK"	"+"	"-"	"-"	"-"	"-"	"+"	"+"	"QDU30854.1"	"QDU30853.1"	"QDU30852.1"	"QDU30851.1"	"QDU30850.1"	"QDU30849.1"	"QDU30848.1"	"DNA primase"	"hypothetical protein"	"hypothetical protein"	"Biopolymer transport protein ExbB"	"biopolymer transport protein ExbD"	"Flagellar hook-associated protein 3"	"Flagellar hook-associated protein 1"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"158"	"158"	"ADB15652.1"	"Pirellula_staleyi_DSM_6068"	"Planctomycetes"	"GCA_000025185.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ADB15655.1"	"ADB15654.1"	"ADB15653.1"	"ADB15652.1"	"ADB15651.1"	"ADB15650.1"	"ADB15649.1"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"Biopolymer transport protein ExbD/TolR"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"159"	"159"	"QDU98468.1"	"Lignipirellula_cremea_Pla85_3_4"	"Planctomycetes"	"GCA_007751035.1"	""	""	""	"exbB_5"	"iscS_2"	"nagAb"	""	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"QDU98471.1"	"QDU98470.1"	"QDU98469.1"	"QDU98468.1"	"QDU98467.1"	"QDU98466.1"	"QDU98465.1"	"Outer membrane efflux protein"	"hypothetical protein"	"Tetratricopeptide repeat protein"	"Biopolymer transport protein ExbB"	"Cysteine desulfurase"	"Naphthalene 1,2-dioxygenase/salicylate 5-hydroxylase system, ferredoxin component"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"160"	"160"	"CAD74695.1"	"Rhodopirellula_baltica_SH_1"	"Planctomycetes"	"GCA_000196115.1"	"galE"	""	""	"tolQ"	""	""	"manC"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"CAD74698.1"	"CAD74697.1"	"CAD74696.1"	"CAD74695.1"	"CAD74694.1"	"CAD74693.1"	"CAD74692.1"	"UDP-glucose 4-epimerase"	"hypothetical protein-transmembrane prediction"	"hypothetical protein"	"probable TolQ-type transport protein"	"hypothetical protein"	"probable deca-heme c-type cytochrome"	"mannose-1-phosphate guanylyltransferase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"161"	"161"	"ADY61978.1"	"Rubinispaera_brasiliensis_DSM_5305"	"Planctomycetes"	"GCA_000165715.3"	""	""	""	NA	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"ADY61975.1"	"ADY61976.1"	"ADY61977.1"	"ADY61978.1"	"ADY61979.1"	"ADY61980.1"	"ADY61981.1"	"alpha/beta hydrolase fold protein"	"TatD-related deoxyribonuclease"	"glutamine cyclotransferase"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"Biopolymer transport protein ExbD/TolR"	"hydrolase, TatD family"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"162"	"162"	"ARN57520.1"	"Sedimentispaera_salicampi_ST-PulAB-D4"	"Planctomycetes"	"GCA_002117005.1"	""	"ykuD"	""	"exbB_3"	""	"groL_1"	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"ARN57517.1"	"ARN57518.1"	"ARN57519.1"	"ARN57520.1"	"ARN57521.1"	"ARN57522.1"	"ARN57523.1"	"5-formyltetrahydrofolate cyclo-ligase family protein"	"Putative L,D-transpeptidase YkuD"	"marine proteobacterial sortase target protein"	"Biopolymer transport protein ExbB"	"Biopolymer transport protein ExbD/TolR"	"Stress protein H5"	"co-chaperonin GroES"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"163"	"163"	"ADB16663.1"	"Pirellula_staleyi_DSM_6068"	"Planctomycetes"	"GCA_000025185.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"+"	"-"	"+"	"ADB16666.1"	"ADB16665.1"	"ADB16664.1"	"ADB16663.1"	"ADB16662.1"	"ADB16661.1"	"ADB16660.1"	"hypothetical protein"	"conserved hypothetical protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"hypothetical protein"	"hypothetical protein"	"protein of unknown function DUF1559"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"164"	"164"	"QDU94893.1"	"Lignipirellula_cremea_Pla85_3_4"	"Planctomycetes"	"GCA_007751035.1"	""	"ptsI_2"	""	"exbB_3"	""	""	""	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"QDU94890.1"	"QDU94891.1"	"QDU94892.1"	"QDU94893.1"	"QDU94894.1"	"QDU94895.1"	"QDU94896.1"	"hypothetical protein"	"Phosphoenolpyruvate-protein phosphotransferase"	"hypothetical protein"	"Biopolymer transport protein ExbB"	"Biopolymer transport protein ExbD/TolR"	"colicin uptake protein TolR"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"165"	"165"	"ADV67905.1"	"Deinococcus_maricopensis_DSM_21211"	"Deino_Thermus"	"GCA_000186385.1"	""	""	""	NA	""	""	""	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"ADV67902.1"	"ADV67903.1"	"ADV67904.1"	"ADV67905.1"	"ADV67906.1"	"ADV67907.1"	"ADV67908.1"	"FeS assembly protein SufB"	"hypothetical protein"	"FeS assembly ATPase SufC"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"166"	"166"	"ALW88052.1"	"Deinococcus_actinosclerus_BM2"	"Deino_Thermus"	"GCA_001507665.1"	""	""	"sufC"	""	""	""	""	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"ALW88049.1"	"ALW88050.1"	"ALW88051.1"	"ALW88052.1"	"ALW88053.1"	"ALW88054.1"	"ALW88055.1"	"hypothetical protein"	"Fe-S cluster assembly protein SufB"	"Fe-S cluster assembly ATPase SufC"	"biopolymer transporter"	"biopolymer transporter"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"167"	"167"	"ADI15492.1"	"Truepera_radiovictrix_DSM_17093"	"Deino_Thermus"	"GCA_000092425.1"	""	""	""	NA	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ADI15495.1"	"ADI15494.1"	"ADI15493.1"	"ADI15492.1"	"ADI15491.1"	"ADI15490.1"	"ADI15489.1"	"arsenate reductase-like protein"	"metallophosphoesterase"	"Phosphoenolpyruvate carboxylase"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"hypothetical protein"	"peptidase S8 and S53 subtilisin kexin sedolisin"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"168"	"168"	"AEB12216.1"	"Marinithermus_hydrothermalis_DSM_14884"	"Deino_Thermus"	"GCA_000195335.1"	""	""	""	NA	""	""	""	"+"	"+"	"+"	"-"	"-"	"-"	"+"	"AEB12219.1"	"AEB12218.1"	"AEB12217.1"	"AEB12216.1"	"AEB12215.1"	"AEB12214.1"	"AEB12213.1"	"protein of unknown function DUF178"	"putative menaquinone biosynthesis protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"hypothetical protein"	"fructose-1,6-bisphosphatase, class II"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"169"	"169"	"AKJ63368.1"	"Kiritimatiella_glycovorans_L21-Fru-AB"	"Kiritimatiellaeota"	"GCA_001017655.1"	""	""	""	"exbB_2"	""	""	""	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"AKJ63371.1"	"AKJ63370.1"	"AKJ63369.1"	"AKJ63368.1"	"AKJ63367.1"	"AKJ63366.1"	"AKJ63365.1"	"hypothetical protein"	"tol-pal system protein YbgF"	"hypothetical protein"	"Biopolymer transport protein ExbB"	"protein TolR"	"biopolymer transport protein ExbD"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"170"	"170"	"QJE97562.1"	"Luteolibacter_luteus_G-1-1-1"	"Verrucomicrobia"	"GCA_012913485.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"QJE97565.1"	"QJE97564.1"	"QJE97563.1"	"QJE97562.1"	"QJE97561.1"	"QJE97560.1"	"QJE97559.1"	"hypothetical protein"	"tetratricopeptide repeat protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"171"	"171"	"QDU25761.1"	"Anatilimnocola_aggregata_ETA_A8"	"Planctomycetes"	"GCA_007747655.1"	""	""	""	"exbB_2"	"exbD_1"	""	""	"-"	"+"	"+"	"-"	"-"	"-"	"-"	"QDU25764.1"	"QDU25763.1"	"QDU25762.1"	"QDU25761.1"	"QDU25760.1"	"QDU25759.1"	"QDU25758.1"	"Dockerin type I repeat protein"	"hypothetical protein"	"hypothetical protein"	"Biopolymer transport protein ExbB"	"Biopolymer transport protein ExbD"	"Pectic acid lyase"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"172"	"172"	"ADB17134.1"	"Pirellula_staleyi_DSM_6068"	"Planctomycetes"	"GCA_000025185.1"	""	""	""	""	""	""	""	"-"	"+"	"+"	"+"	"+"	"+"	"-"	"ADB17131.1"	"ADB17132.1"	"ADB17133.1"	"ADB17134.1"	"ADB17135.1"	"ADB17136.1"	"ADB17137.1"	"hypothetical protein"	"protein of unknown function DUF1080"	"Tetratricopeptide domain protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"hypothetical protein"	"Radical SAM domain protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"173"	"173"	"QDU93364.1"	"Lignipirellula_cremea_Pla85_3_4"	"Planctomycetes"	"GCA_007751035.1"	""	""	""	"exbB_2"	"exbD_1"	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"-"	"QDU93361.1"	"QDU93362.1"	"QDU93363.1"	"QDU93364.1"	"QDU93365.1"	"QDU93366.1"	"QDU93367.1"	"hypothetical protein"	"hypothetical protein"	"tetratricopeptide repeat protein"	"Biopolymer transport protein ExbB"	"Biopolymer transport protein ExbD"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"174"	"174"	"ADY58376.1"	"Rubinispaera_brasiliensis_DSM_5305"	"Planctomycetes"	"GCA_000165715.3"	""	""	""	NA	""	""	""	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"ADY58379.1"	"ADY58378.1"	"ADY58377.1"	"ADY58376.1"	"ADY58375.1"	"ADY58374.1"	"ADY58373.1"	"NusB antitermination factor"	"2-phosphosulfolactate phosphatase"	"Tetratricopeptide TPR_1 repeat-containing protein"	"MotA/TolQ/ExbB proton channel"	"Cell wall assembly/cell proliferation coordinating protein, KNR4"	"3-oxoacyl-(acyl-carrier-protein) reductase"	"Cell wall assembly/cell proliferation coordinating protein, KNR4"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"175"	"175"	"CAD71937.1"	"Rhodopirellula_baltica_SH_1"	"Planctomycetes"	"GCA_000196115.1"	""	"degT"	""	"exbB"	"exbD"	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"CAD71940.1"	"CAD71939.1"	"CAD71938.1"	"CAD71937.1"	"CAD71936.1"	"CAD71935.1"	"CAD71934.1"	"hypothetical protein"	"pleiotropic regulatory protein"	"hypothetical protein-transmembrane prediction"	"probable biopolymer transport ExbB-related protein"	"probable biopolymer transport ExbD protein"	"similar to squalene-hopene cyclase"	"hypothetical protein-transmembrane prediction"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"176"	"176"	"QDU29130.1"	"Anatilimnocola_aggregata_ETA_A8"	"Planctomycetes"	"GCA_007747655.1"	""	"strE_2"	""	""	"exbD_2"	""	"dgoT"	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"QDU29127.1"	"QDU29128.1"	"QDU29129.1"	"QDU29130.1"	"QDU29131.1"	"QDU29132.1"	"QDU29133.1"	"hypothetical protein"	"dTDP-glucose 4,6-dehydratase"	"tol-pal system protein YbgF"	"colicin uptake protein TolQ"	"Biopolymer transport protein ExbD"	"hypothetical protein"	"D-galactonate transporter"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"177"	"177"	"ADB17547.1"	"Pirellula_staleyi_DSM_6068"	"Planctomycetes"	"GCA_000025185.1"	""	""	""	""	""	""	""	"+"	"-"	"+"	"+"	"+"	"+"	"-"	"ADB17544.1"	"ADB17545.1"	"ADB17546.1"	"ADB17547.1"	"ADB17548.1"	"ADB17549.1"	"ADB17550.1"	"Antibiotic biosynthesis monooxygenase"	"NAD-dependent epimerase/dehydratase"	"Tetratricopeptide TPR_2 repeat protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"hypothetical protein"	"metal dependent phosphohydrolase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"178"	"178"	"QDU99088.1"	"Lignipirellula_cremea_Pla85_3_4"	"Planctomycetes"	"GCA_007751035.1"	"pncC"	""	""	""	"exbD_2"	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"-"	"QDU99085.1"	"QDU99086.1"	"QDU99087.1"	"QDU99088.1"	"QDU99089.1"	"QDU99090.1"	"QDU99091.1"	"Nicotinamide-nucleotide amidohydrolase PncC"	"tetratricopeptide repeat protein"	"tol-pal system protein YbgF"	"colicin uptake protein TolQ"	"Biopolymer transport protein ExbD"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"179"	"179"	"CAD77369.1"	"Rhodopirellula_baltica_SH_1"	"Planctomycetes"	"GCA_000196115.1"	"pyrG"	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"CAD77372.1"	"CAD77371.1"	"CAD77370.1"	"CAD77369.1"	"CAD77368.1"	"CAD77367.1"	"CAD77366.1"	"CTP synthase"	"hypothetical protein"	"conserved hypothetical protein containing TPR domain"	"probable tolQ-type transport protein"	"conserved hypothetical protein-putative export protein ExbD"	"hypothetical protein-putative transmembrane protein"	"putative ATP-dependent RNA helicase rhlE"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"180"	"180"	"PKPEBJJI_00297"	"Verrucomicrobium_sp_I-3_bin-033"	"Verrucomicrobia"	"PRJEB3868_Verrucomicrobium_sp_CAIZXV01"	""	""	""	"tolQ"	"tolR_1"	""	"argG"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"PKPEBJJI_00294"	"PKPEBJJI_00295"	"PKPEBJJI_00296"	"PKPEBJJI_00297"	"PKPEBJJI_00298"	"PKPEBJJI_00299"	"PKPEBJJI_00300"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"Tol-Pal system protein TolQ"	"Tol-Pal system protein TolR"	"hypothetical protein"	"Argininosuccinate synthase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"181"	"181"	"SEH93354.1"	"Akkermansia_glycaniphila_isolate_APytT_NA"	"Verrucomicrobia"	"GCA_900097105.1"	""	""	""	NA	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"SEH93388.1"	"SEH93375.1"	"SEH93365.1"	"SEH93354.1"	"SEH93343.1"	"SEH93330.1"	"SEH93320.1"	"Hypothetical protein"	"Hypothetical protein"	"dna glycosylase"	"mota/tolq/exbb proton channel family"	"biopolymer transport protein exbd/tolr"	"biopolymer transport protein exbd/tolr"	"Hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"182"	"182"	"AKJ64099.1"	"Kiritimatiella_glycovorans_L21-Fru-AB"	"Kiritimatiellaeota"	"GCA_001017655.1"	"dapF"	""	""	"exbB_3"	"exbD_2"	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"AKJ64096.1"	"AKJ64097.1"	"AKJ64098.1"	"AKJ64099.1"	"AKJ64100.1"	"AKJ64101.1"	"AKJ64102.1"	"Diaminopimelate epimerase"	"TPR-domain containing protein"	"hypothetical protein"	"Biopolymer transport protein ExbB"	"Biopolymer transport protein ExbD"	"Biopolymer transport protein TolR"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"183"	"183"	"DGBBEKCF_00463"	"Verrucomicrobium_sp_I3b_bin-317"	"Verrucomicrobia"	"PRJEB38681_Verrucomicrobium_sp_CAISZB01"	"purS"	""	"adk"	"tolQ_3"	"tolR_2"	"pfkA2"	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"DGBBEKCF_00460"	"DGBBEKCF_00461"	"DGBBEKCF_00462"	"DGBBEKCF_00463"	"DGBBEKCF_00464"	"DGBBEKCF_00465"	"DGBBEKCF_00466"	"Phosphoribosylformylglycinamidine synthase subunit PurS"	"hypothetical protein"	"Adenylate kinase"	"Tol-Pal system protein TolQ"	"Tol-Pal system protein TolR"	"ATP-dependent 6-phosphofructokinase 2"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"184"	"184"	"QSR84626.1"	"Methylacidimicrobium_sp_B4_NA"	"Verrucomicrobia"	"GCA_017310545.1"	""	""	""	""	""	""	""	"+"	"+"	"-"	"+"	"+"	"+"	"+"	"QSR84624.1"	"QSR84625.1"	"QSR85884.1"	"QSR84626.1"	"QSR84627.1"	"QSR84628.1"	"QSR84629.1"	"hypothetical protein"	"glycosyltransferase family 2 protein"	"nucleoside monophosphate kinase"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"tetratricopeptide repeat protein"	"OmpA family protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"185"	"185"	"QJE95191.1"	"Luteolibacter_luteus_G-1-1-1"	"Verrucomicrobia"	"GCA_012913485.1"	""	""	""	""	""	""	""	"+"	"+"	"-"	"+"	"+"	"+"	"+"	"QJE95188.1"	"QJE95189.1"	"QJE95190.1"	"QJE95191.1"	"QJE95192.1"	"QJE95193.1"	"QJE95194.1"	"glycosyltransferase"	"alpha-amylase"	"excinuclease ABC subunit UvrC"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"tetratricopeptide repeat protein"	"sodium-translocating pyrophosphatase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"186"	"186"	"SEI00245.1"	"Akkermansia_glycaniphila_isolate_APytT_NA"	"Verrucomicrobia"	"GCA_900097105.1"	""	""	""	NA	""	""	""	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"SEI00212.1"	"SEI00224.1"	"SEI00234.1"	"SEI00245.1"	"SEI00267.1"	"SEI00278.1"	"SEI00292.1"	"abc transporter"	"Hypothetical protein"	"uvrb/uvrc motif"	"mota/tolq/exbb proton channel family"	"biopolymer transport protein exbd/tolr"	"biopolymer transport protein exbd/tolr"	"tetratricopeptide repeat"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"187"	"187"	"UBQ05954.1"	"Tepidimonas_taiwanensis_LMG_22826"	"Beta-proteo"	"GCA_020162115.1"	""	""	"xseA"	""	""	"lpxK"	""	"-"	"+"	"+"	"-"	"-"	"-"	"-"	"UBQ05957.1"	"UBQ05956.1"	"UBQ05955.1"	"UBQ05954.1"	"UBQ05953.1"	"UBQ05952.1"	"UBQ05951.1"	"DUF192 domain-containing protein"	"superoxide dismutase [Fe]"	"exodeoxyribonuclease VII large subunit"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"tetraacyldisaccharide 4'-kinase"	"Trm112 family protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"188"	"188"	"APW42522.1"	"Rhodoferax_saidenbachensis_DSM_22694"	"Beta-proteo"	"GCA_001955715.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"APW42524.1"	"APW42523.1"	"APW44761.1"	"APW42522.1"	"APW42521.1"	"APW42520.1"	"APW42519.1"	"isocitrate dehydrogenase, NADP-dependent"	"superoxide dismutase"	"exodeoxyribonuclease VII large subunit"	"flagellar motor protein MotA"	"biopolymer transporter ExbD"	"tetraacyldisaccharide 4'-kinase"	"tetraacyldisaccharide 4'-kinase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"189"	"189"	"ATU65616.1"	"Rhizobacter_gummiphilus_NBRC_109400"	"Beta-proteo"	"GCA_002762215.1"	""	""	""	""	""	""	""	"-"	"+"	"+"	"-"	"-"	"-"	"-"	"ATU65619.1"	"ATU65618.1"	"ATU65617.1"	"ATU65616.1"	"ATU68567.1"	"ATU65615.1"	"ATU65614.1"	"hypothetical protein"	"superoxide dismutase [Fe]"	"exodeoxyribonuclease VII large subunit"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"tetraacyldisaccharide 4'-kinase"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
