	i	protID	spname	symM3	symM2	symM1	sym0	sym1	sym2	sym3	strandM3	strandM2	strandM1	strand0	strand1	strand2	strand3	accM3	accM2	accM1	acc0	acc1	acc2	acc3	nameM3	nameM2	nameM1	name0	name1	name2	name3	genome_dir	gene_order_table_fn
150	199	AIQ91305.1	Methylobacterium oryzae CBMB20								-	+	+	+	+	+	-	AIQ91302.1	AIQ91303.1	AIQ91304.1	AIQ91305.1	AIQ91306.1	AIQ91307.1	AIQ91308.1	Heat shock protein Hsp20	protein of unassigned function	protein of unassigned function	TolQ protein	TolR protein	TolA protein	protein of unassigned function	GCA_000757795.1_ASM75779v1	genomes/GCA_000757795.1_ASM75779v1/GCA_000757795.1_ASM75779v1_feature_table.txt
151	200	AEO48685.1	Rhodospirillum rubrum F11							rplM	-	+	+	-	-	-	-	AEO48688.1	AEO48687.1	AEO48686.1	AEO48685.1	AEO48684.1	AEO48683.1	AEO48682.1	"two component, sigma54 specific, Fis family transcriptional regulator"	hypothetical protein	enoyl-CoA hydratase	MotA/TolQ/ExbB proton channel	biopolymer transport protein ExbD/TolR	TonB-like protein	50S ribosomal protein L13	GCA_000225955.1_ASM22595v1	genomes/GCA_000225955.1_ASM22595v1/GCA_000225955.1_ASM22595v1_feature_table.txt
152	202	ADL00174.1	Brevundimonas subvibrioides ATCC 15264								-	+	+	+	+	+	+	ADL00171.1	ADL00172.1	ADL00173.1	ADL00174.1	ADL00175.1	ADL00176.1	ADL00177.1	peptide deformylase	tol-pal system-associated acyl-CoA thioesterase	hypothetical protein	protein TolQ	protein TolR	hypothetical protein	Tol-Pal system beta propeller repeat protein TolB	GCA_000144605.1_ASM14460v1	genomes/GCA_000144605.1_ASM14460v1/GCA_000144605.1_ASM14460v1_feature_table.txt
153	204	QNQ08778.1	Sphingomonas alpina			ybgC	tolQ	tolR		tolB	-	-	-	-	-	-	-	QNQ08781.1	QNQ08780.1	QNQ08779.1	QNQ08778.1	QNQ08777.1	QNQ08776.1	QNQ08775.1	YdeI/OmpD-associated family protein	hypothetical protein	tol-pal system-associated acyl-CoA thioesterase	protein TolQ	protein TolR	cell envelope biogenesis protein TolA	Tol-Pal system protein TolB	GCA_014490665.1_ASM1449066v1	genomes/GCA_014490665.1_ASM1449066v1/GCA_014490665.1_ASM1449066v1_feature_table.txt
154	206	ABQ61581.1	Brucella ovis ATCC 25840	ruvB			tolQ	tolR	tolA	tolB	-	-	-	-	-	-	-	ABQ60315.1	ABQ60757.1	ABQ61768.1	ABQ61581.1	ABQ60278.1	ABQ60322.1	ABQ61242.1	holliday junction DNA helicase RuvB	conserved hypothetical protein	hypothetical protein	protein TolQ	protein TolR	tolA protein	Tol-Pal system beta propeller repeat protein TolB	GCA_000016845.1_ASM1684v1	genomes/GCA_000016845.1_ASM1684v1/GCA_000016845.1_ASM1684v1_feature_table.txt
155	207	AIQ88683.1	Methylobacterium oryzae CBMB20		ybgC		tolQ	tolR	tolA	tolB	-	-	+	-	-	-	-	AIQ88686.1	AIQ88685.1	AIQ88684.1	AIQ88683.1	AIQ88682.1	AIQ88681.1	AIQ88680.1	protein of unassigned function	Tol-pal system-associated acyl-CoA thioesterase	HpcH/HpaI aldolase	TolQ protein	Biopolymer transport protein ExbD/TolR	TolA protein	Tol-Pal system beta propeller repeat protein TolB	GCA_000757795.1_ASM75779v1	genomes/GCA_000757795.1_ASM75779v1/GCA_000757795.1_ASM75779v1_feature_table.txt
156	209	AEO47594.1	Rhodospirillum rubrum F11		ruvB					tolB	+	+	+	+	+	+	+	AEO47591.1	AEO47592.1	AEO47593.1	AEO47594.1	AEO47595.1	AEO47596.1	AEO47597.1	DNA recombination protein RuvA	Holliday junction DNA helicase RuvB	4-hydroxybenzoyl-CoA thioesterase	MotA/TolQ/ExbB proton channel	biopolymer transport protein ExbD/TolR	hypothetical protein	translocation protein TolB	GCA_000225955.1_ASM22595v1	genomes/GCA_000225955.1_ASM22595v1/GCA_000225955.1_ASM22595v1_feature_table.txt
157	210	CDK97994.1	Magnetospirillum gryphiswaldense MSR-1 v2	ruvA	ruvB		tolQ	TolR		tolB	+	+	+	+	+	+	+	CDK97991.1	CDK97992.1	CDK97993.1	CDK97994.1	CDK97995.1	CDK97996.1	CDK97997.1	Holliday junction DNA helicase ruvA	Holliday junction DNA helicase ruvB	conserved protein of unknown function	TolQ protein	TolR protein	protein of unknown function	Protein tolB precursor	GCA_000513295.1_MGMSRv2	genomes/GCA_000513295.1_MGMSRv2/GCA_000513295.1_MGMSRv2_feature_table.txt
158	212	ATX81939.1	Mariprofundus ferrinatatus	NA	NA	NA	NA	NA	NA	NA	-	-	-	-	-	-	-	ATX81942.1	ATX81941.1	ATX81940.1	ATX81939.1	ATX81938.1	ATX81937.1	ATX81936.1	Holliday junction DNA helicase subunit RuvA	Holliday junction DNA helicase subunit RuvB	acyl-CoA thioester hydrolase	Cell division and transport-associated protein TolQ	Cell division and transport-associated protein TolR	TonB family C-terminal domain-containing protein	hypothetical protein	GCA_002795825.1_ASM279582v1	genomes/GCA_002795825.1_ASM279582v1/GCA_002795825.1_ASM279582v1_feature_table.txt
159	213	ATX79746.1	Mariprofundus aestuarium	NA	NA	NA	NA	NA	NA	NA	+	+	+	+	+	+	+	ATX79743.1	ATX79744.1	ATX79745.1	ATX79746.1	ATX79747.1	ATX79748.1	ATX79749.1	Holliday junction DNA helicase subunit RuvA	Holliday junction DNA helicase subunit RuvB	acyl-CoA thioester hydrolase	Cell division and transport-associated protein TolQ	Cell division and transport-associated protein TolR	TonB family C-terminal domain-containing protein	hypothetical protein	GCA_002795805.1_ASM279580v1	genomes/GCA_002795805.1_ASM279580v1/GCA_002795805.1_ASM279580v1_feature_table.txt
160	214	ADY82611.1	Acinetobacter pittii PHEA-2	ruvB	ill4		tolQ	tolR	iga		+	+	+	+	+	+	+	ADY82608.1	ADY82609.1	ADY82610.1	ADY82611.1	ADY82612.1	ADY82613.1	ADY82614.1	Holliday junction DNA helicase B	hydrolase	putative acyl-CoA thioester hydrolase	"tolerance to group A colicins, single-stranded DNA filamentous phage, required for OM integrity"	biopolymer transport protein TolR	IgA-specific serine endopeptidase	hypothetical protein	GCA_000191145.1_ASM19114v1	genomes/GCA_000191145.1_ASM19114v1/GCA_000191145.1_ASM19114v1_feature_table.txt
161	215	QKS27990.1	Candidatus Accumulibacter similis		ruvB	ybgC	tolQ	tolR	tolA		-	-	-	-	-	-	-	QKS27993.1	QKS27992.1	QKS27991.1	QKS27990.1	QKS27989.1	QKS27988.1	QKS27987.1	AI-2E family transporter	Holliday junction branch migration DNA helicase RuvB	tol-pal system-associated acyl-CoA thioesterase	protein TolQ	protein TolR	cell envelope integrity protein TolA	hypothetical protein	GCA_013347225.1_ASM1334722v1	genomes/GCA_013347225.1_ASM1334722v1/GCA_013347225.1_ASM1334722v1_feature_table.txt
162	216	ATU66653.1	Rhizobacter gummiphilus			ybgC	tolQ				+	+	+	+	+	+	-	ATU66651.1	ATU68658.1	ATU66652.1	ATU66653.1	ATU66654.1	ATU68659.1	ATU66655.1	serine/threonine protein kinase	hypothetical protein	tol-pal system-associated acyl-CoA thioesterase	protein TolQ	protein TolR	protein TolA	RNA polymerase subunit sigma-70	GCA_002762215.1_ASM276221v1	genomes/GCA_002762215.1_ASM276221v1/GCA_002762215.1_ASM276221v1_feature_table.txt
163	217	UBQ04634.1	Tepidimonas taiwanensis	ribH	nusB	ybgC	tolQ		tolA		+	+	+	+	+	+	-	UBQ04631.1	UBQ04632.1	UBQ04633.1	UBQ04634.1	UBQ04635.1	UBQ04636.1	UBQ04637.1	"6,7-dimethyl-8-ribityllumazine synthase"	transcription antitermination factor NusB	tol-pal system-associated acyl-CoA thioesterase	protein TolQ	ExbD/TolR family protein	cell envelope integrity protein TolA	trypsin-like peptidase domain-containing protein	GCA_020162115.1_ASM2016211v1	genomes/GCA_020162115.1_ASM2016211v1/GCA_020162115.1_ASM2016211v1_feature_table.txt
164	218	APW43236.1	Rhodoferax saidenbachensis								+	+	+	+	+	+	-	APW43233.1	APW43234.1	APW43235.1	APW43236.1	APW43237.1	APW43238.1	APW43239.1	"6,7-dimethyl-8-ribityllumazine synthase"	N utilization substance protein B	aminotransferase	protein TolQ	protein TolR	protein TolA	DNA polymerase III subunit alpha	GCA_001955715.1_ASM195571v1	genomes/GCA_001955715.1_ASM195571v1/GCA_001955715.1_ASM195571v1_feature_table.txt
165	220	AJJ55217.1	Yersinia pseudotuberculosis IP 32953			ybgC	tolQ	tolR	tolA	tolB	-	-	-	-	-	-	-	AJJ53541.1	AJJ55472.1	AJJ53924.1	AJJ55217.1	AJJ56355.1	AJJ53328.1	AJJ56552.1	cyd operon protein YbgT	cyd operon protein YbgE	tol-pal system-associated acyl-CoA thioesterase	protein TolQ	protein TolR	protein TolA	Tol-Pal system beta propeller repeat protein TolB	GCA_000834295.1_ASM83429v1	genomes/GCA_000834295.1_ASM83429v1/GCA_000834295.1_ASM83429v1_feature_table.txt
166	221	AJJ31712.1	Yersinia pestis			ybgC	tolQ	tolR	tolA	tolB	-	-	-	-	-	-	-	AJJ31074.1	AJJ33121.1	AJJ31688.1	AJJ31712.1	AJJ33434.1	AJJ32692.1	AJJ31880.1	cyd operon protein YbgT	cyd operon protein YbgE	tol-pal system-associated acyl-CoA thioesterase	protein TolQ	protein TolR	protein TolA	Tol-Pal system beta propeller repeat protein TolB	GCA_000834775.1_ASM83477v1	genomes/GCA_000834775.1_ASM83477v1/GCA_000834775.1_ASM83477v1_feature_table.txt
167	222	QXB11428.1	Klebsiella aerogenes	cydX	ybgE	ybgC	tolQ	tolR	tolA	tolB	+	+	+	+	+	+	+	QXB11425.1	QXB11426.1	QXB11427.1	QXB11428.1	QXB11429.1	QXB11430.1	QXB12549.1	cytochrome bd-I oxidase subunit CydX	cyd operon protein YbgE	tol-pal system-associated acyl-CoA thioesterase	Tol-Pal system protein TolQ	colicin uptake protein TolR	cell envelope integrity protein TolA	Tol-Pal system beta propeller repeat protein TolB	GCA_019048125.1_ASM1904812v1	genomes/GCA_019048125.1_ASM1904812v1/GCA_019048125.1_ASM1904812v1_feature_table.txt
168	223	QKY92913.1	Shigella sonnei	cydX	ybgE	ybgC	tolQ	tolR	tolA	tolB	-	-	-	-	-	-	-	QKY92916.1	QKY92915.1	QKY92914.1	QKY92913.1	QKY92912.1	QKY92911.1	QKY96629.1	cytochrome bd-I oxidase subunit CydX	cyd operon protein YbgE	tol-pal system-associated acyl-CoA thioesterase	Tol-Pal system protein TolQ	colicin uptake protein TolR	cell envelope integrity protein TolA	Tol-Pal system protein TolB	GCA_013374815.1_ASM1337481v1	genomes/GCA_013374815.1_ASM1337481v1/GCA_013374815.1_ASM1337481v1_feature_table.txt
169	225	QEO41016.1	Vibrio cholerae	cydX	ybgE	ybgC	tolQ		tolA	tolB	+	+	+	+	+	+	+	QEO41013.1	QEO41014.1	QEO41015.1	QEO41016.1	QEO41017.1	QEO41018.1	QEO41019.1	cytochrome bd-I oxidase subunit CydX	cyd operon protein YbgE	tol-pal system-associated acyl-CoA thioesterase	protein TolQ	ExbD/TolR family protein	cell envelope integrity protein TolA	Tol-Pal system protein TolB	GCA_008369605.1_ASM836960v1	genomes/GCA_008369605.1_ASM836960v1/GCA_008369605.1_ASM836960v1_feature_table.txt
170	226	BAC59320.1	Vibrio parahaemolyticus RIMD 2210633	VP1054	VP1055	VP1056	VP1057	VP1058	VP1059	VP1060	+	+	+	+	+	+	+	BAC59317.1	BAC59318.1	BAC59319.1	BAC59320.1	BAC59321.1	BAC59322.1	BAC59323.1	"cytochrome d ubiquinol oxidase, subunit II"	conserved hypothetical protein	conserved hypothetical protein	TolQ protein	TolR membrane protein	TolA protein	TolB protein	GCA_000196095.1_ASM19609v1	genomes/GCA_000196095.1_ASM19609v1/GCA_000196095.1_ASM19609v1_feature_table.txt
171	230	ABL64907.1	Chlorobium phaeobacteroides DSM 266								-	-	+	+	+	+	+	ABL64904.1	ABL64905.1	ABL64906.1	ABL64907.1	ABL64908.1	ABL64909.1	ABL64910.1	"acetolactate synthase, large subunit"	dihydroxyacid dehydratase	"protein of unknown function DUF92, transmembrane"	Cell division and transport-associated protein TolQ	Cell division and transport-associated protein TolR	Cell division and transport-associated protein TolA	WD40 domain protein beta Propeller	GCA_000015125.1_ASM1512v1	genomes/GCA_000015125.1_ASM1512v1/GCA_000015125.1_ASM1512v1_feature_table.txt
172	231	QTD52661.1	Sulfidibacter corallicola	mutM		coaD					-	-	-	-	-	-	-	QTD52664.1	QTD52663.1	QTD52662.1	QTD52661.1	QTD52660.1	QTD52659.1	QTD52658.1	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase	DNA repair protein RecN	pantetheine-phosphate adenylyltransferase	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	TonB family protein	PD40 domain-containing protein	GCA_017498545.1_ASM1749854v1	genomes/GCA_017498545.1_ASM1749854v1/GCA_017498545.1_ASM1749854v1_feature_table.txt
173	233	AQV01680.1	Desulfococcus multivorans	sdhA							-	-	-	+	+	+	+	AQV01677.1	AQV01678.1	AQV01679.1	AQV01680.1	AQV01681.1	AQV01682.1	AQV01683.1	succinate dehydrogenase flavoprotein subunit	succinate dehydrogenase	metal-dependent phosphohydrolase	protein TolQ	biopolymer transporter ExbD	hypothetical protein	Tol-Pal system beta propeller repeat protein TolB	GCA_002009335.2_ASM200933v2	genomes/GCA_002009335.2_ASM200933v2/GCA_002009335.2_ASM200933v2_feature_table.txt
174	235	AAR33363.1	Geobacter sulfurreducens PCA	hrcA	hemN						+	+	-	-	-	-	-	AAR33366.1	AAR33365.1	AAR33364.1	AAR33363.1	AAR33362.1	AAR33361.2	AAR33360.1	heat-inducible transcription repressor HrcA	oxygen-independent coproporphyrinogen III oxidase	"nitrilase/amidohydrolase superfamily protein, class 5"	"biopolymer transport membrane proton channel, TolQ-related protein"	"biopolymer transport membrane protein, TolR-related protein"	"periplasmic energy transduction protein, TonB-related protein"	"biopolymer transport periplasmic beta-propeller repeat protein, TolB-related protein"	GCA_000007985.2_ASM798v2	genomes/GCA_000007985.2_ASM798v2/GCA_000007985.2_ASM798v2_feature_table.txt
175	236	ACL64052.1	Anaeromyxobacter dehalogenans 2CP-1								+	+	+	-	-	-	-	ACL64055.1	ACL64054.1	ACL64053.1	ACL64052.1	ACL64051.1	ACL64050.1	ACL64049.1	conserved hypothetical protein	glutamate racemase	conserved hypothetical protein	protein TolQ	protein TolR	TonB family protein	TolB domain protein	GCA_000022145.1_ASM2214v1	genomes/GCA_000022145.1_ASM2214v1/GCA_000022145.1_ASM2214v1_feature_table.txt
176	237	AFE07999.1	Corallococcus coralloides DSM 2259	carF	murI		aglX	tolR		tolB	+	-	-	+	+	+	+	AFE08264.1	AFE09536.1	AFE06830.1	AFE07999.1	AFE10517.1	AFE06831.1	AFE10510.1	carotenoid synthesis regulator CarF	glutamate racemase	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	transport energizing protein TolR	TonB family protein	TolB protein	GCA_000255295.1_ASM25529v1	genomes/GCA_000255295.1_ASM25529v1/GCA_000255295.1_ASM25529v1_feature_table.txt
177	239	ADO74176.1	Stigmatella aurantiaca DW4/3-1	carF	murI		aglX			tolB	+	-	-	+	+	+	+	ADO74173.1	ADO74174.1	ADO74175.1	ADO74176.1	ADO74177.1	ADO74178.1	ADO74179.1	Carotenoid synthesis regulator CarF	Glutamate racemase	conserved uncharacterized protein	Adventurous gliding motility protein X	Transport energizing protein TolR	TonB-like protein	Protein TolB	GCA_000165485.1_ASM16548v1	genomes/GCA_000165485.1_ASM16548v1/GCA_000165485.1_ASM16548v1_feature_table.txt
178	240	QOY87643.1	Paludibaculum fermentans			recN					+	+	+	-	-	-	-	QOY87646.1	QOY87645.1	QOY87644.1	QOY87643.1	QOY87642.1	QOY87641.1	QOY87640.1	hypothetical protein	WbuC family cupin fold metalloprotein	DNA repair protein RecN	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	energy transducer TonB	PD40 domain-containing protein	GCA_015277775.1_ASM1527777v1	genomes/GCA_015277775.1_ASM1527777v1/GCA_015277775.1_ASM1527777v1_feature_table.txt
179	242	AFL88265.1	Terriglobus roseus DSM 18391	NA	NA	NA	NA	NA	NA	NA	-	-	-	+	+	+	+	AFL88262.1	AFL88263.1	AFL88264.1	AFL88265.1	AFL88266.1	AFL88267.1	AFL88268.1	squalene-hopene cyclase	(E)-4-hydroxy-3-methyl-but-2-enyl pyrophosphate reductase	ATPase involved in DNA repair	biopolymer transport protein	biopolymer transport protein	TonB family protein	periplasmic component of the Tol biopolymer transport system	GCA_000265425.1_ASM26542v1	genomes/GCA_000265425.1_ASM26542v1/GCA_000265425.1_ASM26542v1_feature_table.txt
180	243	ACO32834.1	Acidobacterium capsulatum ATCC 51196			recN					-	-	+	-	-	-	-	ACO31400.1	ACO32118.1	ACO33781.1	ACO32834.1	ACO31962.1	ACO33463.1	ACO33128.1	hypothetical protein	conserved hypothetical protein	DNA repair protein RecN	"transporter, MotA/TolQ/ExbB proton channel family"	"transport energizing protein, ExbD/TolR family"	TonB family protein	"tolB protein, putative"	GCA_000022565.1_ASM2256v1	genomes/GCA_000022565.1_ASM2256v1/GCA_000022565.1_ASM2256v1_feature_table.txt
181	244	ABC76751.1	Syntrophus aciditrophicus SB	NA	NA	NA	NA	NA	NA	NA	+	+	+	+	+	+	+	ABC76748.1	ABC76749.1	ABC76750.1	ABC76751.1	ABC76752.1	ABC76753.1	ABC76754.1	"L-lysine 2,3-aminomutase"	protein translation Elongation Factor P (EF-P)	truncated lysyl-tRNA synthetase	tolQ protein	tolR protein	tolA protein	tolB protein	GCA_000013405.1_ASM1340v1	genomes/GCA_000013405.1_ASM1340v1/GCA_000013405.1_ASM1340v1_feature_table.txt
182	245	BCB95125.1	Dissulfurispira thermophila	hisF		rfaE				tolB	-	+	+	-	-	-	-	BCB95128.1	BCB95127.1	BCB95126.1	BCB95125.1	BCB95124.1	BCB95123.1	BCB95122.1	imidazole glycerol phosphate synthase subunit HisF	fibronectin-binding protein	"RfaE bifunctional protein, domain I"	protein TolQ	protein TolR	hypothetical protein	protein TolB	GCA_014701235.1_ASM1470123v1	genomes/GCA_014701235.1_ASM1470123v1/GCA_014701235.1_ASM1470123v1_feature_table.txt
183	247	UPT76060.1	Elusimicrobia bacterium		thrS						+	+	+	+	+	+	+		UPT76059.1	UPT75342.1	UPT76060.1	UPT75343.1	UPT75344.1	UPT75345.1	tRNA-Val	threonine--tRNA ligase	tetratricopeptide repeat protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	biopolymer transporter ExbD	TonB family protein	GCA_023213235.1_ASM2321323v1	genomes/GCA_023213235.1_ASM2321323v1/GCA_023213235.1_ASM2321323v1_feature_table.txt
184	248	BAM06957.1	Leptospirillum ferrooxidans C2-3								-	-	-	-	-	-	-	BAM06959.1	BAM06958.1		BAM06957.1	BAM06956.1	BAM06955.1	BAM06954.1	hypothetical protein	hypothetical protein	tRNA-Asp	putative MotA/TolQ/ExbB proton channel	biopolymer transport protein ExbD/TolR	putative TonB family protein	putative TolB protein	GCA_000284315.1_ASM28431v1	genomes/GCA_000284315.1_ASM28431v1/GCA_000284315.1_ASM28431v1_feature_table.txt
185	249	AOO64467.1	Sulfurospirillum halorespirans DSM 13726								+	+	+	+	+	+	+	AOO64464.1	AOO64465.1	AOO64466.1	AOO64467.1	AOO64468.1	AOO64469.1	AOO64470.1	ATP synthase gamma chain	ATP synthase beta chain	ATP synthase epsilon chain	putative biopolymer transport protein ExbB-like	putative biopolymer transport protein ExbD-like	TonB-like protein	protein TolB	GCA_001723605.1_ASM172360v1	genomes/GCA_001723605.1_ASM172360v1/GCA_001723605.1_ASM172360v1_feature_table.txt
186	251	AAG03587.1	Pseudomonas aeruginosa PAO1	pntAB	pntB	tonB2	exbB1	exbD1			+	+	+	+	+	-	+	ABG56539.1	AAG03585.1	AAG03586.1	AAG03587.1	AAG03588.1	AAG03589.1	AAG03590.1	"putative NAD(P) transhydrogenase, subunit alpha part 2"	"pyridine nucleotide transhydrogenase, beta subunit"	TonB2	transport protein ExbB	transport protein ExbD	hypothetical protein	hypothetical protein	GCA_000006765.1_ASM676v1	genomes/GCA_000006765.1_ASM676v1/GCA_000006765.1_ASM676v1_feature_table.txt
187	252	ADY81773.1	Acinetobacter pittii PHEA-2	atsB	atsC	tonB2	exbB	exbD	crp		+	+	+	+	+	+	+	ADY81770.1	ADY81771.1	ADY81772.1	ADY81773.1	ADY81774.1	ADY81775.1	ADY81776.1	"sulfate ester permease protein (ABC superfamily, membrane)"	"sulfate ester transporter (ABC superfamily, ATP_bind)"	putative TonB-like protein	putative biopolymer transport protein (ExbB-like)	putative biopolymer transport protein (ExbD-like)	cyclic nucleotide-binding:bacterial regulatory protein	putative alkylsulfatase	GCA_000191145.1_ASM19114v1	genomes/GCA_000191145.1_ASM19114v1/GCA_000191145.1_ASM19114v1_feature_table.txt
188	253	ADY81763.1	Acinetobacter pittii PHEA-2	ssuA	ssuD	tonB2	exbB	exbD	gsiB	foxA	-	+	+	+	+	-	+	ADY81760.1	ADY81761.1	ADY81762.1	ADY81763.1	ADY81764.1	ADY81765.1	ADY81766.1	sulfonate/nitrate/taurine transport system substrate-binding protein	putative FMNH2-dependent monooxygenase (methane/alcane sulfonate)	putative TonB-like protein	putative biopolymer transport protein (ExbB-like)	putative biopolymer transport protein (ExbD-like)	"putative oligopeptide binding protein (ABC superfamily, peri_bind)"	TonB-dependent receptor	GCA_000191145.1_ASM19114v1	genomes/GCA_000191145.1_ASM19114v1/GCA_000191145.1_ASM19114v1_feature_table.txt
189	254	QNQ10683.1	Sphingomonas alpina								+	-	+	+	+	+	+	QNQ10681.1	QNQ11886.1	QNQ10682.1	QNQ10683.1	QNQ10684.1	QNQ10685.1	QNQ10686.1	hypothetical protein	hypothetical protein	TonB family protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	biopolymer transporter ExbD	tetratricopeptide repeat protein	GCA_014490665.1_ASM1449066v1	genomes/GCA_014490665.1_ASM1449066v1/GCA_014490665.1_ASM1449066v1_feature_table.txt
190	255	ATU64277.1	Rhizobacter gummiphilus								-	+	+	-	-	-	-	ATU64280.1	ATU64279.1	ATU64278.1	ATU64277.1	ATU64276.1	ATU64275.1	ATU64274.1	hypothetical protein	sensor histidine kinase	DNA-binding response regulator	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	biopolymer transporter ExbD	energy transducer TonB	GCA_002762215.1_ASM276221v1	genomes/GCA_002762215.1_ASM276221v1/GCA_002762215.1_ASM276221v1_feature_table.txt
191	256	ADY81560.1	Acinetobacter pittii PHEA-2		btuB	tonB	exbB1	exbD1	exbD		-	-	-	-	-	-	+	ADY81563.1	ADY81562.1	ADY81561.1	ADY81560.1	ADY81559.1	ADY81558.1	ADY81557.1	hypothetical protein	TonB-dependent receptor	periplasmic protein TonB	putative biopolymer transport protein ExbB	biopolymer transport protein ExbD/TolR	biopolymer transport ExbD protein	acetyltransferase	GCA_000191145.1_ASM19114v1	genomes/GCA_000191145.1_ASM19114v1/GCA_000191145.1_ASM19114v1_feature_table.txt
